GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Digital,default,CLI,6,0,0,0,2,0,1,0,1,0
Digital,de.neemann.digital.hdl.printer,CodePrinterStr,42,28,4,2,10,11,4,4,1,4
Digital,de.neemann.digital.hdl.printer,CodePrinter,17,243,6,26,3,64,6,26,0,16
Digital,de.neemann.digital.core.io,MIDIHelper,184,72,17,9,33,24,16,7,5,5
Digital,de.neemann.digital.core.io,InValue,56,67,10,8,13,18,10,7,3,5
Digital,de.neemann.digital.core.io,RotEncoder,10,50,0,0,1,9,1,4,1,4
Digital,de.neemann.digital.core.io,In.new ElementTypeDescription() {...},2,18,1,1,1,4,1,2,0,2
Digital,de.neemann.digital.core.io,DipSwitch,3,47,1,1,1,13,2,4,1,4
Digital,de.neemann.digital.core.io,CommonConnectionType,0,24,0,0,0,3,0,1,0,1
Digital,de.neemann.digital.core.io,MIDIHelper.SynthesizerMock.new MidiChannel() {...},42,0,0,0,27,0,27,0,27,0
Digital,de.neemann.digital.core.io,Out.new ElementTypeDescription() {...},2,19,1,1,1,4,1,2,0,2
Digital,de.neemann.digital.core.io,Ground,10,45,0,0,1,12,1,4,1,4
Digital,de.neemann.digital.core.io,NotConnected,10,39,0,0,1,9,1,4,1,4
Digital,de.neemann.digital.core.io,MIDIHelper.RealSynthesizer,24,25,2,2,5,9,4,3,2,3
Digital,de.neemann.digital.core.io,RGBLED,0,72,0,0,0,15,0,5,0,5
Digital,de.neemann.digital.core.io,Probe.Counter,80,0,12,0,19,0,9,0,2,0
Digital,de.neemann.digital.core.io,VDD,10,45,0,0,1,12,1,4,1,4
Digital,de.neemann.digital.core.io,ProbeMode,0,44,0,0,0,5,0,1,0,1
Digital,de.neemann.digital.core.io,MIDIHelper.SynthesizerMock,77,0,0,0,5,0,4,0,4,0
Digital,de.neemann.digital.core.io,MIDI,40,161,10,4,8,30,6,8,0,7
Digital,de.neemann.digital.core.io,ButtonLED,0,36,0,0,0,10,0,3,0,3
Digital,de.neemann.digital.core.io,Probe,22,87,1,1,2,20,2,5,1,5
Digital,de.neemann.digital.core.io,PowerSupply,0,108,2,6,0,16,2,8,0,6
Digital,de.neemann.digital.core.io,DipSwitch.new ElementTypeDescription() {...},2,18,1,1,1,4,1,2,0,2
Digital,de.neemann.digital.core.io,StepperMotorBipolar,68,83,20,0,19,12,13,3,3,3
Digital,de.neemann.digital.core.io,LightBulb,0,49,0,0,0,12,0,5,0,5
Digital,de.neemann.digital.core.io,Const,10,51,0,0,1,13,1,4,1,4
Digital,de.neemann.digital.core.io,In,3,145,1,5,1,38,2,7,1,5
Digital,de.neemann.digital.core.io,Out.SevenSegTypeDescription,157,122,4,2,10,13,3,3,0,3
Digital,de.neemann.digital.core.io,PinControl,0,148,0,2,0,25,0,7,0,6
Digital,de.neemann.digital.core.io,MIDI.new ElementTypeDescription() {...},0,86,0,2,0,13,0,3,0,2
Digital,de.neemann.digital.core.io,Button,54,85,10,2,11,19,9,4,3,4
Digital,de.neemann.digital.core.io,StepperMotorUnipolar,212,1313,48,0,34,19,31,4,7,4
Digital,de.neemann.digital.core.io,Out,7,303,1,7,1,61,1,14,0,11
Digital,de.neemann.digital.gui.components.table,BuilderExpressionCreator.new ExpressionListener() {...},6,49,1,3,2,10,1,4,0,3
Digital,de.neemann.digital.gui.components.table,AllSolutionsDialog.new WindowAdapter() {...},21,0,2,0,5,0,3,0,2,0
Digital,de.neemann.digital.gui.components.table,AllSolutionsDialog.new ToolTipAction() {...},26,0,2,0,6,0,3,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.SizeSequentialBidirectionalAction,137,0,8,0,22,0,6,0,2,0
Digital,de.neemann.digital.gui.components.table,ExpressionComponent,192,0,14,0,55,0,15,0,8,0
Digital,de.neemann.digital.gui.components.table,TableDialog.CenterDefaultTableCellRenderer,63,0,8,0,14,0,6,0,2,0
Digital,de.neemann.digital.gui.components.table,TableReorderManager.new MouseAdapter() {...},26,0,4,0,6,0,4,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog,1685,0,46,0,296,0,54,0,31,0
Digital,de.neemann.digital.gui.components.table,ReorderInputs,17,171,3,17,5,32,4,10,1,3
Digital,de.neemann.digital.gui.components.table,ExpressionListenerStore,13,70,3,5,3,17,3,7,0,6
Digital,de.neemann.digital.gui.components.table,TableDialog.SizeAction,32,0,0,0,7,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.TextExportAction,57,0,2,0,15,0,3,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.FileExportActionConfirm,35,0,4,0,7,0,4,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.HardwareToolTipAction,51,0,0,0,11,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.StringDefaultTableCellRenderer,39,0,0,0,11,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,CheckResultListener,35,68,4,8,3,19,4,7,0,4
Digital,de.neemann.digital.gui.components.table,PlainTextExpressionListener,37,0,0,0,10,0,4,0,4,0
Digital,de.neemann.digital.gui.components.table,AllSolutionsDialog,153,0,10,0,31,0,9,0,4,0
Digital,de.neemann.digital.gui.components.table,ExpressionCreator.Job,4,88,1,1,1,18,1,6,0,6
Digital,de.neemann.digital.gui.components.table,ExpressionListenerCSVCondensed.Result,15,259,4,36,3,59,4,21,0,5
Digital,de.neemann.digital.gui.components.table,ProgressDialog,87,0,0,0,17,0,5,0,5,0
Digital,de.neemann.digital.gui.components.table,TableDialog.OutputExpressionListener,108,0,5,0,22,0,7,0,4,0
Digital,de.neemann.digital.gui.components.table,ExpressionListenerJK,19,123,4,8,3,26,4,6,0,4
Digital,de.neemann.digital.gui.components.table,ReorderOutputs,19,82,3,7,5,17,4,5,1,3
Digital,de.neemann.digital.gui.components.table,TableDialog.CalculationTableModelListener,10,0,0,0,3,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},25,0,0,0,3,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},19,0,0,0,3,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},19,0,0,0,3,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},19,0,0,0,3,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},19,0,0,0,3,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},19,0,0,0,3,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},14,0,0,0,3,0,3,0,3,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},14,0,0,0,3,0,3,0,3,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},17,0,0,0,3,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},22,0,2,0,3,0,4,0,3,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},19,0,0,0,3,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},25,0,0,0,3,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},19,0,2,0,3,0,4,0,3,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},19,0,2,0,3,0,4,0,3,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},14,0,0,0,3,0,3,0,3,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new TableDialog.FileExportActionConfirm() {...},20,0,0,0,2,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},66,0,4,0,13,0,4,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new TableDialog.FileExportActionConfirm() {...},20,0,0,0,2,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new TableDialog.FileExportAction() {...},24,0,0,0,5,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},61,0,2,0,10,0,4,0,3,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new TableDialog.TextExportAction() {...},18,0,0,0,2,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new TableDialog.TextExportAction() {...},13,0,0,0,2,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},30,0,2,0,8,0,3,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},87,0,4,0,16,0,4,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},13,0,0,0,3,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},30,0,2,0,8,0,3,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},67,0,2,0,17,0,4,0,3,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},26,0,0,0,7,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},67,0,2,0,17,0,4,0,3,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new ToolTipAction() {...},26,0,0,0,7,0,2,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.new MouseAdapter() {...},43,0,4,0,6,0,4,0,2,0
Digital,de.neemann.digital.gui.components.table,TableDialog.FileExportAction,62,0,4,0,18,0,6,0,4,0
Digital,de.neemann.digital.gui.components.table,LaTeXExpressionListener,0,51,1,1,0,13,1,4,0,4
Digital,de.neemann.digital.gui.components.table,ExpressionListenerCSVCondensed,0,125,1,7,0,20,1,7,0,4
